,true_value,is_correct,predicted_value
991,2,0,8.0
992,3,1,3.0
993,5,0,7.0
994,4,0,2.0
995,9,1,9.0
996,3,1,3.0
997,4,1,4.0
998,7,1,7.0
999,7,1,7.0
1000,0,1,0.0
1001,3,1,3.0
1002,5,0,9.0
1003,5,1,5.0
1004,6,0,4.0
1005,0,0,4.0
1006,5,0,7.0
1007,9,1,9.0
1008,6,0,2.0
1009,3,1,3.0
1010,7,1,7.0
1011,5,1,5.0
1012,1,1,1.0
1013,9,1,9.0
1014,8,1,8.0
1015,8,1,8.0
1016,9,1,9.0
1017,9,1,9.0
1018,2,1,2.0
1019,7,1,7.0
1020,2,1,2.0
1021,2,1,2.0
1022,3,1,3.0
1023,8,1,8.0
1024,7,1,7.0
1025,6,0,4.0
1026,4,1,4.0
1027,5,0,7.0
1028,4,1,4.0
1029,3,1,3.0
1030,6,1,6.0
1031,1,1,1.0
1032,4,1,4.0
1033,9,1,9.0
1034,3,1,3.0
1035,1,1,1.0
1036,6,1,6.0
1037,5,1,5.0
1038,0,1,0.0
1039,5,1,5.0
1040,7,1,7.0
1041,5,1,5.0
1042,2,1,2.0
1043,3,1,3.0
1044,3,1,3.0
1045,9,1,9.0
1046,6,0,4.0
1047,3,1,3.0
1048,6,0,4.0
1049,0,1,0.0
1050,4,1,4.0
1051,5,0,7.0
1052,0,1,0.0
1053,4,1,4.0
1054,9,0,7.0
1055,4,1,4.0
1056,6,0,0.0
1057,3,1,3.0
1058,6,0,4.0
1059,7,1,7.0
1060,0,1,0.0
1061,2,1,2.0
1062,1,1,1.0
1063,1,1,1.0
1064,4,1,4.0
1065,4,1,4.0
1066,8,1,8.0
1067,5,1,5.0
1068,9,1,9.0
1069,0,1,0.0
1070,1,0,0.0
1071,6,0,4.0
1072,5,1,5.0
1073,1,1,1.0
1074,4,1,4.0
1075,4,1,4.0
1076,8,1,8.0
1077,4,1,4.0
1078,7,1,7.0
1079,7,1,7.0
1080,3,1,3.0
1081,8,1,8.0
1082,1,1,1.0
1083,1,1,1.0
1084,9,1,9.0
1085,8,1,8.0
1086,1,1,1.0
1087,3,1,3.0
1088,3,1,3.0
1089,7,1,7.0
1090,5,1,5.0
1091,1,0,0.0
1092,5,1,5.0
1093,7,1,7.0
1094,8,1,8.0
1095,9,1,9.0
1096,6,0,2.0
1097,3,1,3.0
1098,5,1,5.0
1099,8,1,8.0
1100,4,0,2.0
1101,4,1,4.0
1102,3,1,3.0
1103,8,1,8.0
1104,4,1,4.0
1105,5,1,5.0
1106,5,1,5.0
1107,6,0,2.0
1108,7,0,5.0
1109,1,1,1.0
1110,5,0,9.0
1111,0,0,3.0
1112,5,1,5.0
1113,4,1,4.0
1114,8,1,8.0
1115,6,1,6.0
1116,2,0,6.0
1117,1,1,1.0
1118,1,1,1.0
1119,7,1,7.0
1120,9,1,9.0
1121,6,0,2.0
1122,2,1,2.0
1123,7,0,5.0
1124,0,0,4.0
1125,4,1,4.0
1126,8,1,8.0
1127,2,1,2.0
1128,2,1,2.0
1129,6,0,0.0
1130,6,0,3.0
1131,6,0,4.0
1132,4,1,4.0
1133,9,1,9.0
1134,6,1,6.0
1135,8,1,8.0
1136,4,1,4.0
1137,5,1,5.0
1138,9,1,9.0
1139,0,1,0.0
1140,3,1,3.0
1141,9,1,9.0
1142,4,1,4.0
1143,9,1,9.0
1144,8,1,8.0
1145,7,1,7.0
1146,4,1,4.0
1147,2,0,4.0
1148,2,1,2.0
1149,5,1,5.0
1150,3,1,3.0
1151,7,1,7.0
1152,6,0,0.0
1153,7,1,7.0
1154,2,0,4.0
1155,9,1,9.0
1156,3,1,3.0
1157,7,1,7.0
1158,0,1,0.0
1159,9,1,9.0
1160,4,0,3.0
1161,8,1,8.0
1162,6,0,4.0
1163,4,1,4.0
1164,7,0,9.0
1165,6,1,6.0
1166,4,1,4.0
1167,6,1,6.0
1168,2,1,2.0
1169,0,1,0.0
1170,7,1,7.0
1171,8,1,8.0
1172,4,1,4.0
1173,2,1,2.0
1174,6,0,4.0
1175,5,1,5.0
1176,5,1,5.0
1177,6,0,0.0
1178,4,1,4.0
1179,5,1,5.0
1180,5,1,5.0
1181,8,1,8.0
1182,1,1,1.0
1183,1,1,1.0
1184,7,1,7.0
1185,4,1,4.0
1186,6,0,0.0
1187,9,1,9.0
1188,6,0,0.0
1189,8,1,8.0
1190,7,1,7.0
1191,2,0,4.0
1192,2,1,2.0
1193,1,1,1.0
1194,2,1,2.0
1195,7,1,7.0
1196,7,1,7.0
1197,6,0,4.0
1198,9,1,9.0
1199,8,1,8.0
1200,5,1,5.0
1201,1,1,1.0
1202,1,1,1.0
1203,0,1,0.0
1204,2,1,2.0
1205,0,1,0.0
1206,9,1,9.0
1207,0,0,1.0
1208,1,1,1.0
1209,9,1,9.0
1210,6,0,0.0
1211,5,0,9.0
1212,5,1,5.0
1213,2,0,8.0
1214,0,1,0.0
1215,7,1,7.0
1216,0,1,0.0
1217,2,1,2.0
1218,0,0,1.0
1219,1,1,1.0
1220,3,1,3.0
1221,1,1,1.0
1222,3,1,3.0
1223,4,0,2.0
1224,7,0,9.0
1225,2,1,2.0
1226,4,1,4.0
1227,9,1,9.0
1228,5,1,5.0
1229,2,0,4.0
1230,9,1,9.0
1231,0,0,6.0
1232,3,1,3.0
1233,4,1,4.0
1234,4,1,4.0
1235,6,0,0.0
1236,6,0,0.0
1237,5,1,5.0
1238,2,1,2.0
1239,2,1,2.0
1240,5,1,5.0
1241,6,0,4.0
1242,1,1,1.0
1243,4,1,4.0
1244,2,1,2.0
1245,5,0,7.0
1246,4,1,4.0
1247,4,1,4.0
1248,8,1,8.0
1249,0,0,3.0
1250,2,1,2.0
1251,4,0,3.0
1252,0,1,0.0
1253,6,0,4.0
1254,2,0,3.0
1255,6,1,6.0
1256,8,1,8.0
1257,3,1,3.0
1258,8,1,8.0
1259,2,1,2.0
1260,0,1,0.0
1261,4,1,4.0
1262,4,1,4.0
1263,8,1,8.0
1264,8,1,8.0
1265,4,1,4.0
1266,5,1,5.0
1267,2,1,2.0
1268,2,1,2.0
1269,3,1,3.0
1270,0,1,0.0
1271,1,1,1.0
1272,9,1,9.0
1273,0,1,0.0
1274,9,1,9.0
1275,1,1,1.0
1276,9,1,9.0
1277,6,0,1.0
1278,5,0,7.0
1279,2,0,4.0
1280,2,1,2.0
1281,7,1,7.0
1282,3,1,3.0
1283,8,1,8.0
1284,5,0,9.0
1285,0,1,0.0
1286,8,0,2.0
1287,0,0,3.0
1288,7,0,9.0
1289,5,1,5.0
1290,5,1,5.0
1291,9,1,9.0
1292,5,0,7.0
1293,0,1,0.0
1294,6,0,0.0
1295,0,1,0.0
1296,3,1,3.0
1297,4,1,4.0
1298,4,1,4.0
1299,4,1,4.0
1300,8,0,9.0
1301,7,1,7.0
1302,1,1,1.0
1303,3,1,3.0
1304,4,1,4.0
1305,0,1,0.0
1306,6,0,4.0
1307,5,1,5.0
1308,1,1,1.0
1309,6,1,6.0
1310,7,1,7.0
1311,3,1,3.0
1312,4,1,4.0
1313,8,1,8.0
1314,8,1,8.0
1315,2,0,4.0
1316,8,1,8.0
1317,9,0,7.0
1318,4,1,4.0
1319,1,0,0.0
1320,6,0,4.0
1321,5,1,5.0
1322,2,0,4.0
1323,7,1,7.0
1324,8,1,8.0
1325,5,1,5.0
1326,3,0,6.0
1327,8,1,8.0
1328,5,1,5.0
1329,4,1,4.0
1330,2,0,4.0
1331,8,1,8.0
1332,9,1,9.0
1333,8,1,8.0
1334,4,0,0.0
1335,3,1,3.0
1336,3,0,0.0
1337,8,1,8.0
1338,8,1,8.0
1339,2,0,3.0
1340,0,1,0.0
1341,9,1,9.0
1342,4,1,4.0
1343,4,1,4.0
1344,8,1,8.0
1345,1,1,1.0
1346,3,1,3.0
1347,6,0,4.0
1348,1,1,1.0
1349,9,1,9.0
1350,2,1,2.0
1351,1,1,1.0
1352,6,0,4.0
1353,2,0,4.0
1354,7,1,7.0
1355,9,1,9.0
1356,4,0,2.0
1357,6,0,0.0
1358,0,1,0.0
1359,4,1,4.0
